日期,排名,影片名,单日票房(万),环比变化(%),累计票房(万)
2019年10月31日,1,少年的你,"5,279.0000",-12.0000,"85,135.0000"
2019年10月31日,2,我和我的祖国,961.0000,22.0000,"286,076.0000"
2019年10月31日,3,中国机长,598.0000,-12.0000,"282,286.0000"
2019年10月31日,4,沉睡魔咒2,549.0000,-2.0000,"32,093.0000"
2019年10月31日,5,催眠·裁决,537.0000,-9.0000,"7,761.0000"
2019年10月31日,6,终结者:黑暗命运,372.0000,——,378.0000
2019年10月31日,7,双子杀手,228.0000,-2.0000,"22,752.0000"
2019年10月31日,8,小巷管家,207.0000,12.0000,503.0000
2019年10月31日,9,攀登者,137.0000,-10.0000,"107,347.0000"
2019年10月31日,10,航海王:狂热行动,127.0000,-1.0000,"19,965.0000"
2019年10月30日,1,少年的你,"5,980.0000",-16.0000,"79,855.0000"
2019年10月30日,2,我和我的祖国,787.0000,-2.0000,"285,115.0000"
2019年10月30日,3,中国机长,678.0000,-6.0000,"281,689.0000"
2019年10月30日,4,催眠·裁决,591.0000,-10.0000,"7,225.0000"
2019年10月30日,5,沉睡魔咒2,560.0000,-6.0000,"31,544.0000"
2019年10月30日,6,双子杀手,233.0000,-4.0000,"22,523.0000"
2019年10月30日,7,小巷管家,185.0000,68.0000,296.0000
2019年10月30日,8,攀登者,153.0000,2.0000,"107,210.0000"
2019年10月30日,9,航海王:狂热行动,128.0000,-10.0000,"19,839.0000"
2019年10月30日,10,犯罪现场,76.0000,-1.0000,"25,163.0000"
2019年10月29日,1,少年的你,"7,077.0000",-17.0000,"73,868.0000"
2019年10月29日,2,我和我的祖国,803.0000,9.0000,"284,319.0000"
2019年10月29日,3,中国机长,720.0000,-2.0000,"281,004.0000"
2019年10月29日,4,催眠·裁决,658.0000,-14.0000,"6,633.0000"
2019年10月29日,5,沉睡魔咒2,594.0000,-7.0000,"30,981.0000"
2019年10月29日,6,双子杀手,243.0000,-11.0000,"22,289.0000"
2019年10月29日,7,攀登者,150.0000,17.0000,"107,056.0000"
2019年10月29日,8,航海王:狂热行动,143.0000,-16.0000,"19,710.0000"
2019年10月29日,9,小巷管家,110.0000,——,110.0000
2019年10月29日,10,犯罪现场,77.0000,-1.0000,"25,086.0000"
2019年10月28日,1,少年的你,"8,509.0000",-57.0000,"66,781.0000"
2019年10月28日,2,催眠·裁决,761.0000,-49.0000,"5,975.0000"
2019年10月28日,3,中国机长,735.0000,-59.0000,"280,276.0000"
2019年10月28日,4,我和我的祖国,735.0000,-20.0000,"283,513.0000"
2019年10月28日,5,沉睡魔咒2,639.0000,-68.0000,"30,384.0000"
2019年10月28日,6,双子杀手,272.0000,-66.0000,"22,046.0000"
2019年10月28日,7,航海王:狂热行动,171.0000,-77.0000,"19,564.0000"
2019年10月28日,8,攀登者,128.0000,-50.0000,"106,904.0000"
2019年10月28日,9,犯罪现场,78.0000,-43.0000,"25,007.0000"
2019年10月28日,10,太阳升起的时刻,59.0000,48.0000,323.0000
2019年10月27日,1,少年的你,"19,875.0000",-16.0000,"58,266.0000"
2019年10月27日,2,沉睡魔咒2,"1,996.0000",-28.0000,"29,742.0000"
2019年10月27日,3,中国机长,"1,809.0000",-19.0000,"279,528.0000"
2019年10月27日,4,催眠·裁决,"1,493.0000",-21.0000,"5,212.0000"
2019年10月27日,5,我和我的祖国,921.0000,-13.0000,"282,770.0000"
2019年10月27日,6,双子杀手,806.0000,-20.0000,"21,772.0000"
2019年10月27日,7,航海王:狂热行动,729.0000,-23.0000,"19,391.0000"
2019年10月27日,8,攀登者,254.0000,-14.0000,"106,772.0000"
2019年10月27日,9,三傻闹地球,165.0000,-30.0000,411.0000
2019年10月27日,10,犯罪现场,137.0000,-17.0000,"24,926.0000"
2019年10月26日,1,少年的你,"23,744.0000",62.0000,"38,391.0000"
2019年10月26日,2,沉睡魔咒2,"2,764.0000",95.0000,"27,746.0000"
2019年10月26日,3,中国机长,"2,240.0000",80.0000,"277,719.0000"
2019年10月26日,4,催眠·裁决,"1,888.0000",3.0000,"3,719.0000"
2019年10月26日,5,我和我的祖国,"1,061.0000",-16.0000,"281,849.0000"
2019年10月26日,6,双子杀手,"1,010.0000",77.0000,"20,966.0000"
2019年10月26日,7,航海王:狂热行动,947.0000,110.0000,"18,663.0000"
2019年10月26日,8,攀登者,297.0000,36.0000,"106,518.0000"
2019年10月26日,9,三傻闹地球,237.0000,"23,600.0000",245.0000
2019年10月26日,10,天作谜案,202.0000,-49.0000,608.0000
2019年10月25日,1,少年的你,"14,640.0000",——,"14,640.0000"
2019年10月25日,2,催眠·裁决,"1,825.0000","45,525.0000","1,831.0000"
2019年10月25日,3,沉睡魔咒2,"1,416.0000",-8.0000,"24,977.0000"
2019年10月25日,4,我和我的祖国,"1,257.0000",-4.0000,"280,783.0000"
2019年10月25日,5,中国机长,"1,244.0000",-9.0000,"275,472.0000"
2019年10月25日,6,双子杀手,572.0000,-37.0000,"19,952.0000"
2019年10月25日,7,航海王:狂热行动,451.0000,-19.0000,"17,712.0000"
2019年10月25日,8,天作谜案,394.0000,0.0000,406.0000
2019年10月25日,9,攀登者,218.0000,-42.0000,"106,220.0000"
2019年10月25日,10,太阳升起的时刻,170.0000,——,170.0000
2019年10月24日,1,沉睡魔咒2,"1,539.0000",-12.0000,"23,547.0000"
2019年10月24日,2,中国机长,"1,358.0000",-7.0000,"274,127.0000"
2019年10月24日,3,我和我的祖国,"1,309.0000",0.0000,"279,478.0000"
2019年10月24日,4,双子杀手,905.0000,-13.0000,"19,370.0000"
2019年10月24日,5,航海王:狂热行动,559.0000,-18.0000,"17,253.0000"
2019年10月24日,6,犯罪现场,505.0000,-6.0000,"24,520.0000"
2019年10月24日,7,攀登者,375.0000,-1.0000,"105,987.0000"
2019年10月24日,8,侠路相逢,78.0000,5.0000,416.0000
2019年10月24日,9,江南,37.0000,3.0000,435.0000
2019年10月24日,10,决胜时刻,34.0000,17.0000,"11,556.0000"
2019年10月23日,1,沉睡魔咒2,"1,741.0000",-13.0000,"22,004.0000"
2019年10月23日,2,中国机长,"1,456.0000",-7.0000,"272,728.0000"
2019年10月23日,3,我和我的祖国,"1,308.0000",15.0000,"278,131.0000"
2019年10月23日,4,双子杀手,"1,044.0000",-10.0000,"18,464.0000"
2019年10月23日,5,航海王:狂热行动,681.0000,-20.0000,"16,692.0000"
2019年10月23日,6,犯罪现场,536.0000,-3.0000,"24,011.0000"
2019年10月23日,7,攀登者,377.0000,-3.0000,"105,599.0000"
2019年10月23日,8,侠路相逢,74.0000,-21.0000,338.0000
2019年10月23日,9,江南,36.0000,16.0000,398.0000
2019年10月23日,10,决胜时刻,29.0000,-24.0000,"11,522.0000"
2019年10月22日,1,沉睡魔咒2,"2,006.0000",-9.0000,"20,263.0000"
2019年10月22日,2,中国机长,"1,560.0000",1.0000,"271,267.0000"
2019年10月22日,3,双子杀手,"1,164.0000",-14.0000,"17,419.0000"
2019年10月22日,4,我和我的祖国,"1,137.0000",47.0000,"276,821.0000"
2019年10月22日,5,航海王:狂热行动,855.0000,-26.0000,"16,011.0000"
2019年10月22日,6,犯罪现场,554.0000,-4.0000,"23,474.0000"
2019年10月22日,7,攀登者,388.0000,11.0000,"105,220.0000"
2019年10月22日,8,侠路相逢,94.0000,29.0000,264.0000
2019年10月22日,9,决胜时刻,39.0000,63.0000,"11,493.0000"
2019年10月22日,10,江南,31.0000,-16.0000,362.0000
2019年10月21日,1,沉睡魔咒2,"2,195.0000",-60.0000,"18,253.0000"
2019年10月21日,2,中国机长,"1,549.0000",-61.0000,"269,703.0000"
2019年10月21日,3,双子杀手,"1,358.0000",-63.0000,"16,251.0000"
2019年10月21日,4,航海王:狂热行动,"1,163.0000",-68.0000,"15,153.0000"
2019年10月21日,5,我和我的祖国,774.0000,-49.0000,"275,679.0000"
2019年10月21日,6,犯罪现场,575.0000,-47.0000,"22,919.0000"
2019年10月21日,7,攀登者,348.0000,-55.0000,"104,831.0000"
2019年10月21日,8,侠路相逢,73.0000,55.0000,170.0000
2019年10月21日,9,江南,37.0000,48.0000,331.0000
2019年10月21日,10,决胜时刻,25.0000,47.0000,"11,454.0000"
2019年10月20日,1,沉睡魔咒2,"5,507.0000",-19.0000,"16,057.0000"
2019年10月20日,2,中国机长,"4,018.0000",-21.0000,"268,152.0000"
2019年10月20日,3,双子杀手,"3,713.0000",-30.0000,"14,892.0000"
2019年10月20日,4,航海王:狂热行动,"3,684.0000",-33.0000,"13,989.0000"
2019年10月20日,5,我和我的祖国,"1,527.0000",-24.0000,"274,905.0000"
2019年10月20日,6,犯罪现场,"1,077.0000",-15.0000,"22,343.0000"
2019年10月20日,7,攀登者,774.0000,-10.0000,"104,483.0000"
2019年10月20日,8,雪人奇缘,221.0000,19.0000,"10,463.0000"
2019年10月20日,9,侠路相逢,47.0000,370.0000,97.0000
2019年10月20日,10,你好霸王龙,46.0000,2.0000,154.0000
2019年10月19日,1,沉睡魔咒2,"6,821.0000",88.0000,"10,550.0000"
2019年10月19日,2,航海王:狂热行动,"5,486.0000",17.0000,"10,304.0000"
2019年10月19日,3,双子杀手,"5,291.0000",-5.0000,"11,179.0000"
2019年10月19日,4,中国机长,"5,117.0000",92.0000,"264,134.0000"
2019年10月19日,5,我和我的祖国,"2,022.0000",-10.0000,"273,377.0000"
2019年10月19日,6,犯罪现场,"1,267.0000",76.0000,"21,266.0000"
2019年10月19日,7,攀登者,861.0000,91.0000,"103,709.0000"
2019年10月19日,8,雪人奇缘,185.0000,"1,133.0000","10,242.0000"
2019年10月19日,9,你好霸王龙,45.0000,——,108.0000
2019年10月19日,10,我在耀瓷小镇等你,29.0000,-28.0000,69.0000
2019年10月18日,1,双子杀手,"5,595.0000","1,863.0000","5,888.0000"
2019年10月18日,2,航海王:狂热行动,"4,676.0000","3,193.0000","4,819.0000"
2019年10月18日,3,沉睡魔咒2,"3,625.0000","3,419.0000","3,728.0000"
2019年10月18日,4,中国机长,"2,667.0000",-7.0000,"259,017.0000"
2019年10月18日,5,我和我的祖国,"2,237.0000",-19.0000,"271,355.0000"
2019年10月18日,6,犯罪现场,718.0000,-58.0000,"19,999.0000"
2019年10月18日,7,攀登者,452.0000,-52.0000,"102,848.0000"
2019年10月18日,8,决胜时刻,113.0000,18.0000,"11,388.0000"
2019年10月18日,9,打过长江去,63.0000,-59.0000,467.0000
2019年10月18日,10,我在耀瓷小镇等你,40.0000,——,41.0000
2019年10月17日,1,中国机长,"2,859.0000",-7.0000,"256,346.0000"
2019年10月17日,2,我和我的祖国,"2,775.0000",-6.0000,"269,113.0000"
2019年10月17日,3,犯罪现场,"1,698.0000",-21.0000,"19,280.0000"
2019年10月17日,4,攀登者,938.0000,-4.0000,"102,395.0000"
2019年10月17日,5,双子杀手,285.0000,"3,971.0000",293.0000
2019年10月17日,6,打过长江去,156.0000,-36.0000,404.0000
2019年10月17日,7,航海王:狂热行动,142.0000,——,142.0000
2019年10月17日,8,沉睡魔咒2,103.0000,——,103.0000
2019年10月17日,9,决胜时刻,96.0000,-2.0000,"11,275.0000"
2019年10月17日,10,江南,32.0000,0.0000,218.0000
2019年10月16日,1,中国机长,"3,095.0000",-5.0000,"253,466.0000"
2019年10月16日,2,我和我的祖国,"2,972.0000",-8.0000,"266,322.0000"
2019年10月16日,3,犯罪现场,"2,146.0000",-8.0000,"17,579.0000"
2019年10月16日,4,攀登者,979.0000,-5.0000,"101,449.0000"
2019年10月16日,5,打过长江去,247.0000,——,247.0000
2019年10月16日,6,决胜时刻,98.0000,5.0000,"11,179.0000"
2019年10月16日,7,急速逃脱,30.0000,-12.0000,408.0000
2019年10月16日,8,雪人奇缘,29.0000,-6.0000,"10,013.0000"
2019年10月16日,9,国礼,19.0000,-24.0000,458.0000
2019年10月16日,10,古田军号,9.0000,-18.0000,"3,525.0000"
2019年10月15日,1,中国机长,"3,263.0000",-1.0000,"250,356.0000"
2019年10月15日,2,我和我的祖国,"3,220.0000",0.0000,"263,337.0000"
2019年10月15日,3,犯罪现场,"2,328.0000",-8.0000,"15,431.0000"
2019年10月15日,4,攀登者,"1,033.0000",-25.0000,"100,463.0000"
2019年10月15日,5,决胜时刻,93.0000,52.0000,"11,081.0000"
2019年10月15日,6,急速逃脱,34.0000,-13.0000,378.0000
2019年10月15日,7,雪人奇缘,31.0000,7.0000,"9,983.0000"
2019年10月15日,8,国礼,25.0000,-19.0000,440.0000
2019年10月15日,9,古田军号,11.0000,-21.0000,"3,516.0000"
2019年10月15日,10,哪吒之魔童降世,7.0000,-13.0000,"497,280.0000"
2019年10月14日,1,中国机长,"3,313.0000",-66.0000,"247,083.0000"
2019年10月14日,2,我和我的祖国,"3,228.0000",-50.0000,"260,103.0000"
2019年10月14日,3,犯罪现场,"2,540.0000",-52.0000,"13,096.0000"
2019年10月14日,4,攀登者,"1,387.0000",-61.0000,"99,427.0000"
2019年10月14日,5,决胜时刻,61.0000,221.0000,"10,988.0000"
2019年10月14日,6,急速逃脱,39.0000,-65.0000,344.0000
2019年10月14日,7,国礼,31.0000,94.0000,415.0000
2019年10月14日,8,雪人奇缘,29.0000,-95.0000,"9,952.0000"
2019年10月14日,9,古田军号,14.0000,17.0000,"3,505.0000"
2019年10月14日,10,哪吒之魔童降世,8.0000,-88.0000,"497,273.0000"
2019年10月13日,1,中国机长,"9,811.0000",8.0000,"243,766.0000"
2019年10月13日,2,我和我的祖国,"6,426.0000",-8.0000,"256,874.0000"
2019年10月13日,3,犯罪现场,"5,307.0000",1.0000,"10,554.0000"
2019年10月13日,4,攀登者,"3,588.0000",13.0000,"98,039.0000"
2019年10月13日,5,雪人奇缘,528.0000,340.0000,"9,924.0000"
2019年10月13日,6,丑娃娃,239.0000,0.0000,315.0000
2019年10月13日,7,急速逃脱,110.0000,-43.0000,305.0000
2019年10月13日,8,哪吒之魔童降世,68.0000,152.0000,"497,264.0000"
2019年10月13日,9,心灵的阳光,48.0000,0.0000,"5,397.0000"
2019年10月13日,10,罗小黑战记,29.0000,222.0000,"31,345.0000"
2019年10月12日,1,中国机长,"9,087.0000",54.0000,"233,955.0000"
2019年10月12日,2,我和我的祖国,"6,957.0000",38.0000,"250,448.0000"
2019年10月12日,3,犯罪现场,"5,247.0000",0.0000,"5,247.0000"
2019年10月12日,4,攀登者,"3,178.0000",57.0000,"94,451.0000"
2019年10月12日,5,急速逃脱,192.0000,"19,100.0000",195.0000
2019年10月12日,6,雪人奇缘,120.0000,94.0000,"9,396.0000"
2019年10月12日,7,决胜时刻,116.0000,16.0000,"10,908.0000"
2019年10月12日,8,哪吒之魔童降世,27.0000,4.0000,"497,196.0000"
2019年10月12日,9,古田军号,17.0000,-37.0000,"3,479.0000"
2019年10月12日,10,国礼,12.0000,-20.0000,367.0000
2019年10月11日,1,中国机长,"5,895.0000",-1.0000,"224,868.0000"
2019年10月11日,2,我和我的祖国,"5,044.0000",-6.0000,"243,491.0000"
2019年10月11日,3,攀登者,"2,028.0000",0.0000,"91,272.0000"
2019年10月11日,4,决胜时刻,100.0000,9.0000,"10,793.0000"
2019年10月11日,5,雪人奇缘,62.0000,27.0000,"9,275.0000"
2019年10月11日,6,古田军号,27.0000,-16.0000,"3,462.0000"
2019年10月11日,7,哪吒之魔童降世,26.0000,0.0000,"497,170.0000"
2019年10月11日,8,国礼,15.0000,-6.0000,354.0000
2019年10月11日,9,亲密旅行,13.0000,8.0000,314.0000
2019年10月11日,10,罗小黑战记,12.0000,0.0000,"31,307.0000"
2019年10月10日,1,中国机长,"5,948.0000",-14.0000,"218,917.0000"
2019年10月10日,2,我和我的祖国,"5,389.0000",-1.0000,"238,399.0000"
2019年10月10日,3,攀登者,"2,022.0000",-10.0000,"89,223.0000"
2019年10月10日,4,决胜时刻,92.0000,12.0000,"10,692.0000"
2019年10月10日,5,雪人奇缘,49.0000,-9.0000,"9,211.0000"
2019年10月10日,6,古田军号,32.0000,3.0000,"3,435.0000"
2019年10月10日,7,哪吒之魔童降世,26.0000,0.0000,"497,138.0000"
2019年10月10日,8,国礼,16.0000,167.0000,339.0000
2019年10月10日,9,亲密旅行,12.0000,-8.0000,301.0000
2019年10月10日,10,罗小黑战记,12.0000,20.0000,"31,294.0000"
2019年10月09日,1,中国机长,"6,923.0000",-16.0000,"212,966.0000"
2019年10月09日,2,我和我的祖国,"5,420.0000",2.0000,"233,008.0000"
2019年10月09日,3,攀登者,"2,245.0000",-11.0000,"87,200.0000"
2019年10月09日,4,决胜时刻,82.0000,58.0000,"10,600.0000"
2019年10月09日,5,雪人奇缘,54.0000,-17.0000,"9,162.0000"
2019年10月09日,6,古田军号,31.0000,3.0000,"3,403.0000"
2019年10月09日,7,哪吒之魔童降世,26.0000,-13.0000,"497,112.0000"
2019年10月09日,8,亲密旅行,13.0000,0.0000,289.0000
2019年10月09日,9,古镇画情,10.0000,-9.0000,"2,141.0000"
2019年10月09日,10,罗小黑战记,10.0000,-17.0000,"31,282.0000"
2019年10月08日,1,中国机长,"8,200.0000",-53.0000,"206,036.0000"
2019年10月08日,2,我和我的祖国,"5,296.0000",-66.0000,"227,578.0000"
2019年10月08日,3,攀登者,"2,530.0000",-55.0000,"84,951.0000"
2019年10月08日,4,雪人奇缘,65.0000,-93.0000,"9,107.0000"
2019年10月08日,5,决胜时刻,52.0000,225.0000,"10,518.0000"
2019年10月08日,6,古田军号,30.0000,0.0000,"3,373.0000"
2019年10月08日,7,哪吒之魔童降世,30.0000,-88.0000,"497,086.0000"
2019年10月08日,8,亲密旅行,13.0000,-35.0000,276.0000
2019年10月08日,9,罗小黑战记,12.0000,-82.0000,"31,271.0000"
2019年10月08日,10,古镇画情,11.0000,-54.0000,"2,131.0000"
2019年10月07日,1,中国机长,"17,542.0000",-25.0000,"197,819.0000"
2019年10月07日,2,我和我的祖国,"15,798.0000",-29.0000,"222,265.0000"
2019年10月07日,3,攀登者,"5,630.0000",-23.0000,"82,416.0000"
2019年10月07日,4,雪人奇缘,967.0000,-8.0000,"9,042.0000"
2019年10月07日,5,哪吒之魔童降世,251.0000,-24.0000,"497,056.0000"
2019年10月07日,6,心灵的阳光,75.0000,-19.0000,"5,348.0000"
2019年10月07日,7,罗小黑战记,65.0000,-31.0000,"31,259.0000"
2019年10月07日,8,疯狂梦幻城,45.0000,2.0000,447.0000
2019年10月07日,9,古田军号,30.0000,15.0000,"3,343.0000"
2019年10月07日,10,古镇画情,24.0000,-31.0000,"2,120.0000"
2019年10月06日,1,中国机长,"23,527.0000",-4.0000,"180,277.0000"
2019年10月06日,2,我和我的祖国,"22,271.0000",-8.0000,"206,467.0000"
2019年10月06日,3,攀登者,"7,298.0000",1.0000,"76,786.0000"
2019年10月06日,4,雪人奇缘,"1,047.0000",-3.0000,"8,075.0000"
2019年10月06日,5,哪吒之魔童降世,331.0000,-8.0000,"496,805.0000"
2019年10月06日,6,罗小黑战记,94.0000,-8.0000,"31,194.0000"
2019年10月06日,7,心灵的阳光,93.0000,-16.0000,"5,273.0000"
2019年10月06日,8,疯狂梦幻城,44.0000,38.0000,401.0000
2019年10月06日,9,古镇画情,35.0000,-19.0000,"2,095.0000"
2019年10月06日,10,名侦探柯南:绀青之拳,28.0000,-10.0000,"23,129.0000"
2019年10月05日,1,中国机长,"24,462.0000",-3.0000,"156,726.0000"
2019年10月05日,2,我和我的祖国,"24,315.0000",-6.0000,"184,168.0000"
2019年10月05日,3,攀登者,"7,257.0000",-6.0000,"69,484.0000"
2019年10月05日,4,雪人奇缘,"1,082.0000",-5.0000,"7,027.0000"
2019年10月05日,5,哪吒之魔童降世,360.0000,1.0000,"496,474.0000"
2019年10月05日,6,心灵的阳光,111.0000,8.0000,"5,180.0000"
2019年10月05日,7,罗小黑战记,102.0000,-1.0000,"31,100.0000"
2019年10月05日,8,古镇画情,43.0000,2.0000,"2,061.0000"
2019年10月05日,9,疯狂梦幻城,32.0000,-14.0000,357.0000
2019年10月05日,10,名侦探柯南:绀青之拳,31.0000,-3.0000,"23,102.0000"
2019年10月04日,1,我和我的祖国,"25,809.0000",-15.0000,"159,846.0000"
2019年10月04日,2,中国机长,"25,273.0000",-5.0000,"132,260.0000"
2019年10月04日,3,攀登者,"7,720.0000",-14.0000,"62,226.0000"
2019年10月04日,4,雪人奇缘,"1,140.0000",-8.0000,"5,945.0000"
2019年10月04日,5,哪吒之魔童降世,355.0000,11.0000,"496,112.0000"
2019年10月04日,6,罗小黑战记,103.0000,6.0000,"30,998.0000"
2019年10月04日,7,心灵的阳光,103.0000,-12.0000,"5,069.0000"
2019年10月04日,8,古镇画情,42.0000,-7.0000,"2,018.0000"
2019年10月04日,9,丑娃娃,39.0000,0.0000,68.0000
2019年10月04日,10,疯狂梦幻城,37.0000,37.0000,325.0000
2019年10月03日,1,我和我的祖国,"30,248.0000",-16.0000,"134,029.0000"
2019年10月03日,2,中国机长,"26,724.0000",-5.0000,"106,981.0000"
2019年10月03日,3,攀登者,"9,024.0000",-15.0000,"54,503.0000"
2019年10月03日,4,雪人奇缘,"1,242.0000",2.0000,"4,804.0000"
2019年10月03日,5,哪吒之魔童降世,320.0000,29.0000,"495,757.0000"
2019年10月03日,6,亲密旅行,147.0000,"3,575.0000",168.0000
2019年10月03日,7,心灵的阳光,117.0000,-14.0000,"4,966.0000"
2019年10月03日,8,罗小黑战记,97.0000,17.0000,"30,895.0000"
2019年10月03日,9,古镇画情,45.0000,-8.0000,"1,975.0000"
2019年10月03日,10,疯狂斗牛场,36.0000,0.0000,37.0000
2019年10月02日,1,我和我的祖国,"35,858.0000",-6.0000,"103,775.0000"
2019年10月02日,2,中国机长,"28,232.0000",10.0000,"80,253.0000"
2019年10月02日,3,攀登者,"10,648.0000",-22.0000,"45,477.0000"
2019年10月02日,4,雪人奇缘,"1,219.0000",-33.0000,"3,562.0000"
2019年10月02日,5,哪吒之魔童降世,249.0000,101.0000,"495,436.0000"
2019年10月02日,6,美食大冒险之英雄烩,155.0000,0.0000,160.0000
2019年10月02日,7,心灵的阳光,136.0000,-3.0000,"4,849.0000"
2019年10月02日,8,罗小黑战记,83.0000,77.0000,"30,798.0000"
2019年10月02日,9,古镇画情,49.0000,4.0000,"1,930.0000"
2019年10月02日,10,疯狂梦幻城,37.0000,28.0000,261.0000
2019年10月01日,1,我和我的祖国,"37,975.0000",32.0000,"67,908.0000"
2019年10月01日,2,中国机长,"25,607.0000",24.0000,"52,010.0000"
2019年10月01日,3,攀登者,"13,632.0000",-19.0000,"34,831.0000"
2019年10月01日,4,雪人奇缘,"1,840.0000","183,900.0000","2,349.0000"
2019年10月01日,5,心灵的阳光,140.0000,22.0000,"4,713.0000"
2019年10月01日,6,哪吒之魔童降世,124.0000,553.0000,"495,184.0000"
2019年10月01日,7,古镇画情,47.0000,31.0000,"1,881.0000"
