日期,排名,影片名,单日票房(万),环比变化(%),累计票房(万)
2019年10月01日,8,罗小黑战记,47.0000,104.0000,"30,713.0000"
2019年10月01日,9,疯狂梦幻城,29.0000,867.0000,224.0000
2019年10月01日,10,古田军号,22.0000,633.0000,"3,180.0000"
2019年09月30日,1,我和我的祖国,"28,660.0000","716,400.0000","29,923.0000"
2019年09月30日,2,中国机长,"20,704.0000",0.0000,"26,380.0000"
2019年09月30日,3,攀登者,"16,721.0000","238,771.0000","21,178.0000"
2019年09月30日,4,心灵的阳光,115.0000,"1,817.0000","4,573.0000"
2019年09月30日,5,决胜时刻,54.0000,-92.0000,"10,366.0000"
2019年09月30日,6,古镇画情,34.0000,"1,033.0000","1,832.0000"
2019年09月30日,7,罗小黑战记,23.0000,-94.0000,"30,662.0000"
2019年09月30日,8,哪吒之魔童降世,19.0000,-94.0000,"495,057.0000"
2019年09月30日,9,我和神马查干,17.0000,"1,600.0000","3,369.0000"
2019年09月30日,10,诛仙Ⅰ,15.0000,-98.0000,"40,158.0000"
2019年09月29日,1,诛仙Ⅰ,719.0000,38.0000,"40,143.0000"
2019年09月29日,2,决胜时刻,678.0000,28.0000,"10,313.0000"
2019年09月29日,3,小小的愿望,678.0000,-15.0000,"26,624.0000"
2019年09月29日,4,小Q,541.0000,-12.0000,"10,989.0000"
2019年09月29日,5,罗小黑战记,381.0000,-42.0000,"30,639.0000"
2019年09月29日,6,友情以上,365.0000,-18.0000,"5,153.0000"
2019年09月29日,7,哪吒之魔童降世,296.0000,-38.0000,"495,038.0000"
2019年09月29日,8,名侦探柯南:绀青之拳,252.0000,-31.0000,"22,957.0000"
2019年09月29日,9,速度与激情:特别行动,180.0000,6.0000,"143,002.0000"
2019年09月29日,10,巨鳄风暴,114.0000,1.0000,"7,380.0000"
2019年09月28日,1,中国机长,"5,635.0000","46,858.0000","5,676.0000"
2019年09月28日,2,攀登者,"4,421.0000","19,122.0000","4,450.0000"
2019年09月28日,3,我和我的祖国,"1,257.0000","125,600.0000","1,259.0000"
2019年09月28日,4,小小的愿望,800.0000,9.0000,"25,946.0000"
2019年09月28日,5,罗小黑战记,654.0000,77.0000,"30,258.0000"
2019年09月28日,6,小Q,618.0000,-3.0000,"10,449.0000"
2019年09月28日,7,决胜时刻,529.0000,-44.0000,"9,635.0000"
2019年09月28日,8,诛仙Ⅰ,521.0000,9.0000,"39,424.0000"
2019年09月28日,9,雪人奇缘,486.0000,"48,500.0000",508.0000
2019年09月28日,10,哪吒之魔童降世,481.0000,86.0000,"494,742.0000"
2019年09月27日,1,决胜时刻,947.0000,3.0000,"9,104.0000"
2019年09月27日,2,小小的愿望,730.0000,47.0000,"25,145.0000"
2019年09月27日,3,小Q,638.0000,24.0000,"9,827.0000"
2019年09月27日,4,诛仙Ⅰ,477.0000,25.0000,"38,898.0000"
2019年09月27日,5,友情以上,429.0000,26.0000,"4,343.0000"
2019年09月27日,6,罗小黑战记,370.0000,78.0000,"29,604.0000"
2019年09月27日,7,哪吒之魔童降世,258.0000,44.0000,"494,260.0000"
2019年09月27日,8,名侦探柯南:绀青之拳,237.0000,61.0000,"22,342.0000"
2019年09月27日,9,速度与激情:特别行动,161.0000,27.0000,"142,647.0000"
2019年09月27日,10,巨鳄风暴,119.0000,32.0000,"7,151.0000"
2019年09月26日,1,决胜时刻,922.0000,-6.0000,"8,157.0000"
2019年09月26日,2,小Q,514.0000,-8.0000,"9,189.0000"
2019年09月26日,3,小小的愿望,495.0000,-9.0000,"24,412.0000"
2019年09月26日,4,诛仙Ⅰ,381.0000,-9.0000,"38,419.0000"
2019年09月26日,5,友情以上,340.0000,-10.0000,"3,914.0000"
2019年09月26日,6,罗小黑战记,207.0000,-7.0000,"29,232.0000"
2019年09月26日,7,哪吒之魔童降世,179.0000,-6.0000,"494,000.0000"
2019年09月26日,8,名侦探柯南:绀青之拳,147.0000,-9.0000,"22,103.0000"
2019年09月26日,9,速度与激情:特别行动,126.0000,-2.0000,"142,485.0000"
2019年09月26日,10,巨鳄风暴,90.0000,-6.0000,"7,031.0000"
2019年09月25日,1,决胜时刻,986.0000,29.0000,"7,236.0000"
2019年09月25日,2,小Q,555.0000,-9.0000,"8,673.0000"
2019年09月25日,3,小小的愿望,542.0000,-3.0000,"23,916.0000"
2019年09月25日,4,诛仙Ⅰ,417.0000,-8.0000,"38,037.0000"
2019年09月25日,5,友情以上,376.0000,-8.0000,"3,574.0000"
2019年09月25日,6,罗小黑战记,223.0000,-6.0000,"29,024.0000"
2019年09月25日,7,哪吒之魔童降世,191.0000,-5.0000,"493,821.0000"
2019年09月25日,8,名侦探柯南:绀青之拳,162.0000,-8.0000,"21,956.0000"
2019年09月25日,9,速度与激情:特别行动,127.0000,-2.0000,"142,358.0000"
2019年09月25日,10,巨鳄风暴,96.0000,-4.0000,"6,941.0000"
2019年09月24日,1,决胜时刻,767.0000,6.0000,"6,250.0000"
2019年09月24日,2,小Q,608.0000,-10.0000,"8,117.0000"
2019年09月24日,3,小小的愿望,559.0000,-1.0000,"23,373.0000"
2019年09月24日,4,诛仙Ⅰ,452.0000,-12.0000,"37,619.0000"
2019年09月24日,5,友情以上,408.0000,-2.0000,"3,198.0000"
2019年09月24日,6,罗小黑战记,237.0000,-9.0000,"28,801.0000"
2019年09月24日,7,哪吒之魔童降世,200.0000,-5.0000,"493,629.0000"
2019年09月24日,8,名侦探柯南:绀青之拳,177.0000,-16.0000,"21,794.0000"
2019年09月24日,9,速度与激情:特别行动,129.0000,-2.0000,"142,230.0000"
2019年09月24日,10,巨鳄风暴,100.0000,-8.0000,"6,845.0000"
2019年09月23日,1,决胜时刻,724.0000,-44.0000,"5,483.0000"
2019年09月23日,2,小Q,672.0000,-61.0000,"7,507.0000"
2019年09月23日,3,小小的愿望,564.0000,-59.0000,"22,809.0000"
2019年09月23日,4,诛仙Ⅰ,516.0000,-61.0000,"37,157.0000"
2019年09月23日,5,友情以上,417.0000,-55.0000,"2,789.0000"
2019年09月23日,6,罗小黑战记,261.0000,-80.0000,"28,559.0000"
2019年09月23日,7,哪吒之魔童降世,211.0000,-77.0000,"493,424.0000"
2019年09月23日,8,名侦探柯南:绀青之拳,209.0000,-79.0000,"21,613.0000"
2019年09月23日,9,速度与激情:特别行动,132.0000,-66.0000,"142,097.0000"
2019年09月23日,10,巨鳄风暴,109.0000,-53.0000,"6,744.0000"
2019年09月22日,1,小Q,"1,726.0000",-22.0000,"6,835.0000"
2019年09月22日,2,小小的愿望,"1,366.0000",-22.0000,"22,245.0000"
2019年09月22日,3,罗小黑战记,"1,320.0000",-12.0000,"28,298.0000"
2019年09月22日,4,诛仙Ⅰ,"1,310.0000",-24.0000,"36,640.0000"
2019年09月22日,5,决胜时刻,"1,302.0000",-20.0000,"4,759.0000"
2019年09月22日,6,名侦探柯南:绀青之拳,988.0000,-27.0000,"21,403.0000"
2019年09月22日,7,友情以上,929.0000,6.0000,"2,371.0000"
2019年09月22日,8,哪吒之魔童降世,900.0000,-10.0000,"493,212.0000"
2019年09月22日,9,速度与激情:特别行动,384.0000,-21.0000,"141,965.0000"
2019年09月22日,10,巨鳄风暴,231.0000,-27.0000,"6,635.0000"
2019年09月21日,1,小Q,"2,218.0000",32.0000,"5,107.0000"
2019年09月21日,2,小小的愿望,"1,741.0000",106.0000,"20,875.0000"
2019年09月21日,3,诛仙Ⅰ,"1,721.0000",73.0000,"35,323.0000"
2019年09月21日,4,决胜时刻,"1,621.0000",20.0000,"3,456.0000"
2019年09月21日,5,罗小黑战记,"1,498.0000",204.0000,"26,974.0000"
2019年09月21日,6,名侦探柯南:绀青之拳,"1,352.0000",142.0000,"20,409.0000"
2019年09月21日,7,哪吒之魔童降世,"1,003.0000",251.0000,"492,310.0000"
2019年09月21日,8,友情以上,878.0000,91.0000,"1,442.0000"
2019年09月21日,9,速度与激情:特别行动,485.0000,106.0000,"141,578.0000"
2019年09月21日,10,巨鳄风暴,316.0000,104.0000,"6,404.0000"
2019年09月20日,1,小Q,"1,675.0000","41,775.0000","2,889.0000"
2019年09月20日,2,决胜时刻,"1,356.0000",707.0000,"1,835.0000"
2019年09月20日,3,诛仙Ⅰ,993.0000,0.0000,"33,599.0000"
2019年09月20日,4,小小的愿望,844.0000,16.0000,"19,133.0000"
2019年09月20日,5,名侦探柯南:绀青之拳,558.0000,25.0000,"19,056.0000"
2019年09月20日,6,罗小黑战记,492.0000,16.0000,"25,475.0000"
2019年09月20日,7,友情以上,460.0000,0.0000,564.0000
2019年09月20日,8,哪吒之魔童降世,286.0000,6.0000,"491,305.0000"
2019年09月20日,9,速度与激情:特别行动,236.0000,-19.0000,"141,093.0000"
2019年09月20日,10,巨鳄风暴,155.0000,-42.0000,"6,088.0000"
2019年09月19日,1,诛仙Ⅰ,997.0000,-16.0000,"32,604.0000"
2019年09月19日,2,小小的愿望,726.0000,-6.0000,"18,288.0000"
2019年09月19日,3,名侦探柯南:绀青之拳,445.0000,-15.0000,"18,497.0000"
2019年09月19日,4,罗小黑战记,424.0000,-8.0000,"24,983.0000"
2019年09月19日,5,速度与激情:特别行动,292.0000,-5.0000,"140,856.0000"
2019年09月19日,6,巨鳄风暴,269.0000,-9.0000,"5,932.0000"
2019年09月19日,7,哪吒之魔童降世,269.0000,-3.0000,"491,018.0000"
2019年09月19日,8,决胜时刻,168.0000,13.0000,478.0000
2019年09月19日,9,古田军号,54.0000,-23.0000,"2,827.0000"
2019年09月19日,10,烈火英雄,49.0000,0.0000,"168,725.0000"
2019年09月18日,1,诛仙Ⅰ,"1,186.0000",-17.0000,"31,607.0000"
2019年09月18日,2,小小的愿望,769.0000,-10.0000,"17,561.0000"
2019年09月18日,3,名侦探柯南:绀青之拳,522.0000,-16.0000,"18,052.0000"
2019年09月18日,4,罗小黑战记,459.0000,-10.0000,"24,558.0000"
2019年09月18日,5,速度与激情:特别行动,307.0000,-6.0000,"140,563.0000"
2019年09月18日,6,巨鳄风暴,295.0000,-8.0000,"5,663.0000"
2019年09月18日,7,哪吒之魔童降世,276.0000,-6.0000,"490,748.0000"
2019年09月18日,8,决胜时刻,149.0000,181.0000,310.0000
2019年09月18日,9,古田军号,70.0000,63.0000,"2,773.0000"
2019年09月18日,10,烈火英雄,49.0000,7.0000,"168,676.0000"
2019年09月17日,1,诛仙Ⅰ,"1,428.0000",-22.0000,"30,418.0000"
2019年09月17日,2,小小的愿望,857.0000,-8.0000,"16,791.0000"
2019年09月17日,3,名侦探柯南:绀青之拳,621.0000,-22.0000,"17,528.0000"
2019年09月17日,4,罗小黑战记,511.0000,-14.0000,"24,098.0000"
2019年09月17日,5,速度与激情:特别行动,326.0000,-3.0000,"140,256.0000"
2019年09月17日,6,巨鳄风暴,322.0000,-9.0000,"5,368.0000"
2019年09月17日,7,哪吒之魔童降世,295.0000,-10.0000,"490,472.0000"
2019年09月17日,8,决胜时刻,53.0000,51.0000,162.0000
2019年09月17日,9,烈火英雄,46.0000,18.0000,"168,627.0000"
2019年09月17日,10,徒手攀岩,43.0000,-7.0000,"3,210.0000"
2019年09月16日,1,诛仙Ⅰ,"1,821.0000",-58.0000,"28,989.0000"
2019年09月16日,2,小小的愿望,929.0000,-57.0000,"15,934.0000"
2019年09月16日,3,名侦探柯南:绀青之拳,801.0000,-74.0000,"16,907.0000"
2019年09月16日,4,罗小黑战记,597.0000,-75.0000,"23,586.0000"
2019年09月16日,5,巨鳄风暴,355.0000,-51.0000,"5,046.0000"
2019年09月16日,6,速度与激情:特别行动,336.0000,-56.0000,"139,922.0000"
2019年09月16日,7,哪吒之魔童降世,328.0000,-78.0000,"490,174.0000"
2019年09月16日,8,徒手攀岩,46.0000,-60.0000,"3,167.0000"
2019年09月16日,9,烈火英雄,39.0000,-66.0000,"168,580.0000"
2019年09月16日,10,决胜时刻,35.0000,40.0000,109.0000
2019年09月15日,1,诛仙Ⅰ,"4,349.0000",-49.0000,"27,145.0000"
2019年09月15日,2,名侦探柯南:绀青之拳,"3,069.0000",-45.0000,"16,094.0000"
2019年09月15日,3,罗小黑战记,"2,389.0000",-33.0000,"22,978.0000"
2019年09月15日,4,小小的愿望,"2,183.0000",-45.0000,"14,996.0000"
2019年09月15日,5,哪吒之魔童降世,"1,464.0000",-41.0000,"489,835.0000"
2019年09月15日,6,速度与激情:特别行动,765.0000,-42.0000,"139,579.0000"
2019年09月15日,7,巨鳄风暴,721.0000,-39.0000,"4,688.0000"
2019年09月15日,8,徒手攀岩,116.0000,-15.0000,"3,120.0000"
2019年09月15日,9,烈火英雄,114.0000,-33.0000,"168,540.0000"
2019年09月15日,10,福星高照朱小八,78.0000,-28.0000,493.0000
2019年09月14日,1,诛仙Ⅰ,"8,458.0000",-41.0000,"22,796.0000"
2019年09月14日,2,名侦探柯南:绀青之拳,"5,548.0000",-25.0000,"13,024.0000"
2019年09月14日,3,小小的愿望,"3,935.0000",-32.0000,"12,813.0000"
2019年09月14日,4,罗小黑战记,"3,552.0000",5.0000,"20,590.0000"
2019年09月14日,5,哪吒之魔童降世,"2,471.0000",11.0000,"488,371.0000"
2019年09月14日,6,速度与激情:特别行动,"1,328.0000",-9.0000,"138,815.0000"
2019年09月14日,7,巨鳄风暴,"1,189.0000",-6.0000,"3,968.0000"
2019年09月14日,8,烈火英雄,171.0000,22.0000,"168,426.0000"
2019年09月14日,9,徒手攀岩,136.0000,36.0000,"3,005.0000"
2019年09月14日,10,福星高照朱小八,109.0000,-47.0000,415.0000
2019年09月13日,1,诛仙Ⅰ,"14,336.0000",0.0000,"14,337.0000"
2019年09月13日,2,名侦探柯南:绀青之拳,"7,352.0000","6,027.0000","7,476.0000"
2019年09月13日,3,小小的愿望,"5,806.0000",93.0000,"8,876.0000"
2019年09月13日,4,罗小黑战记,"3,378.0000",106.0000,"17,037.0000"
2019年09月13日,5,哪吒之魔童降世,"2,231.0000",185.0000,"485,899.0000"
2019年09月13日,6,速度与激情:特别行动,"1,458.0000",44.0000,"137,486.0000"
2019年09月13日,7,巨鳄风暴,"1,260.0000",-16.0000,"2,779.0000"
2019年09月13日,8,福星高照朱小八,207.0000,"20,600.0000",306.0000
2019年09月13日,9,烈火英雄,140.0000,-26.0000,"168,254.0000"
2019年09月13日,10,徒手攀岩,100.0000,-30.0000,"2,869.0000"
2019年09月12日,1,小小的愿望,"3,004.0000","29,940.0000","3,069.0000"
2019年09月12日,2,罗小黑战记,"1,636.0000",58.0000,"13,658.0000"
2019年09月12日,3,巨鳄风暴,"1,506.0000","12,450.0000","1,518.0000"
2019年09月12日,4,速度与激情:特别行动,"1,012.0000",20.0000,"136,026.0000"
2019年09月12日,5,哪吒之魔童降世,783.0000,56.0000,"483,669.0000"
2019年09月12日,6,烈火英雄,188.0000,-18.0000,"168,115.0000"
2019年09月12日,7,徒手攀岩,143.0000,-16.0000,"2,769.0000"
2019年09月12日,8,名侦探柯南:绀青之拳,120.0000,0.0000,124.0000
2019年09月12日,9,一生只为一事来,88.0000,35.0000,281.0000
2019年09月12日,10,检察方的罪人,47.0000,-33.0000,"1,139.0000"
2019年09月11日,1,罗小黑战记,"1,036.0000",-15.0000,"12,006.0000"
2019年09月11日,2,速度与激情:特别行动,845.0000,-14.0000,"134,990.0000"
2019年09月11日,3,哪吒之魔童降世,501.0000,-15.0000,"482,858.0000"
2019年09月11日,4,烈火英雄,227.0000,-2.0000,"167,918.0000"
2019年09月11日,5,徒手攀岩,171.0000,-14.0000,"2,624.0000"
2019年09月11日,6,宝莱坞机器人2.0:重生归来,72.0000,-21.0000,"2,061.0000"
2019年09月11日,7,检察方的罪人,70.0000,-8.0000,"1,092.0000"
2019年09月11日,8,一生只为一事来,65.0000,-24.0000,193.0000
2019年09月11日,9,最长1枪,42.0000,-9.0000,716.0000
2019年09月11日,10,古田军号,41.0000,-24.0000,"2,543.0000"
2019年09月10日,1,罗小黑战记,"1,218.0000",0.0000,"10,970.0000"
2019年09月10日,2,速度与激情:特别行动,978.0000,2.0000,"134,145.0000"
2019年09月10日,3,哪吒之魔童降世,590.0000,4.0000,"482,357.0000"
2019年09月10日,4,烈火英雄,231.0000,11.0000,"167,690.0000"
2019年09月10日,5,徒手攀岩,199.0000,-3.0000,"2,453.0000"
2019年09月10日,6,宝莱坞机器人2.0:重生归来,91.0000,-12.0000,"1,989.0000"
2019年09月10日,7,一生只为一事来,86.0000,110.0000,128.0000
2019年09月10日,8,检察方的罪人,76.0000,-14.0000,"1,023.0000"
2019年09月10日,9,古田军号,54.0000,15.0000,"2,502.0000"
2019年09月10日,10,最长1枪,46.0000,5.0000,674.0000
2019年09月09日,1,罗小黑战记,"1,220.0000",-68.0000,"9,752.0000"
2019年09月09日,2,速度与激情:特别行动,963.0000,-59.0000,"133,167.0000"
2019年09月09日,3,哪吒之魔童降世,565.0000,-73.0000,"481,767.0000"
2019年09月09日,4,烈火英雄,208.0000,-52.0000,"167,459.0000"
2019年09月09日,5,徒手攀岩,205.0000,-64.0000,"2,254.0000"
2019年09月09日,6,宝莱坞机器人2.0:重生归来,103.0000,-67.0000,"1,899.0000"
2019年09月09日,7,检察方的罪人,88.0000,-68.0000,946.0000
2019年09月09日,8,古田军号,47.0000,38.0000,"2,448.0000"
2019年09月09日,9,毕业的我们,45.0000,-26.0000,329.0000
2019年09月09日,10,最长1枪,44.0000,-58.0000,628.0000
2019年09月08日,1,罗小黑战记,"3,808.0000",-15.0000,"8,530.0000"
2019年09月08日,2,速度与激情:特别行动,"2,369.0000",-22.0000,"132,176.0000"
2019年09月08日,3,哪吒之魔童降世,"2,131.0000",-16.0000,"481,169.0000"
2019年09月08日,4,徒手攀岩,570.0000,-20.0000,"2,049.0000"
2019年09月08日,5,烈火英雄,436.0000,-4.0000,"167,244.0000"
2019年09月08日,6,宝莱坞机器人2.0:重生归来,314.0000,-39.0000,"1,796.0000"
2019年09月08日,7,检察方的罪人,277.0000,-24.0000,859.0000
2019年09月08日,8,逗爱熊仁镇,119.0000,-70.0000,524.0000
2019年09月08日,9,最长1枪,105.0000,-22.0000,584.0000
2019年09月08日,10,愤怒的小鸟2,80.0000,16.0000,"13,937.0000"
2019年09月07日,1,罗小黑战记,"4,499.0000","16,563.0000","4,719.0000"
2019年09月07日,2,速度与激情:特别行动,"3,044.0000",67.0000,"129,806.0000"
2019年09月07日,3,哪吒之魔童降世,"2,536.0000",136.0000,"479,036.0000"
2019年09月07日,4,徒手攀岩,710.0000,3.0000,"1,478.0000"
2019年09月07日,5,宝莱坞机器人2.0:重生归来,516.0000,-45.0000,"1,482.0000"
2019年09月07日,6,烈火英雄,454.0000,68.0000,"166,808.0000"
2019年09月07日,7,逗爱熊仁镇,401.0000,0.0000,405.0000
2019年09月07日,8,检察方的罪人,366.0000,71.0000,582.0000
2019年09月07日,9,最长1枪,134.0000,-60.0000,479.0000
2019年09月07日,10,冷血追击,107.0000,-52.0000,348.0000
2019年09月06日,1,速度与激情:特别行动,"1,819.0000",15.0000,"126,762.0000"
2019年09月06日,2,哪吒之魔童降世,"1,076.0000",40.0000,"476,500.0000"
2019年09月06日,3,宝莱坞机器人2.0:重生归来,931.0000,"10,244.0000",966.0000
2019年09月06日,4,徒手攀岩,692.0000,0.0000,769.0000
2019年09月06日,5,最长1枪,339.0000,0.0000,345.0000
2019年09月06日,6,烈火英雄,271.0000,-38.0000,"166,353.0000"
2019年09月06日,7,冷血追击,224.0000,"22,300.0000",241.0000
2019年09月06日,8,检察方的罪人,214.0000,"21,300.0000",216.0000
2019年09月06日,9,花椒之味,74.0000,0.0000,87.0000
2019年09月06日,10,古田军号,58.0000,5.0000,"2,332.0000"
2019年09月05日,1,速度与激情:特别行动,"1,575.0000",-9.0000,"124,943.0000"
2019年09月05日,2,哪吒之魔童降世,771.0000,-8.0000,"475,424.0000"
2019年09月05日,3,烈火英雄,433.0000,-3.0000,"166,082.0000"
2019年09月05日,4,铤而走险,241.0000,-15.0000,"4,315.0000"
2019年09月05日,5,使徒行者2:谍影行动,136.0000,-11.0000,"69,584.0000"
2019年09月05日,6,深夜食堂,89.0000,-17.0000,"2,362.0000"
2019年09月05日,7,古田军号,55.0000,90.0000,"2,274.0000"
2019年09月05日,8,毕业的我们,39.0000,39.0000,132.0000
2019年09月05日,9,骡子,39.0000,-11.0000,892.0000
2019年09月05日,10,死寂逃亡,38.0000,-19.0000,933.0000
2019年09月04日,1,速度与激情:特别行动,"1,734.0000",-13.0000,"123,368.0000"
2019年09月04日,2,哪吒之魔童降世,835.0000,-9.0000,"474,653.0000"
2019年09月04日,3,烈火英雄,445.0000,-3.0000,"165,648.0000"
2019年09月04日,4,铤而走险,284.0000,-13.0000,"4,074.0000"
2019年09月04日,5,使徒行者2:谍影行动,152.0000,1.0000,"69,448.0000"
2019年09月04日,6,深夜食堂,107.0000,-14.0000,"2,273.0000"
2019年09月04日,7,死寂逃亡,47.0000,-16.0000,896.0000
2019年09月04日,8,骡子,44.0000,-14.0000,853.0000
2019年09月04日,9,女王的柯基,41.0000,-15.0000,"1,354.0000"
2019年09月04日,10,送我上青云,30.0000,-6.0000,"2,802.0000"
2019年09月03日,1,速度与激情:特别行动,"1,995.0000",-11.0000,"121,633.0000"
2019年09月03日,2,哪吒之魔童降世,921.0000,-11.0000,"473,818.0000"
2019年09月03日,3,烈火英雄,457.0000,-3.0000,"165,204.0000"
2019年09月03日,4,铤而走险,325.0000,-12.0000,"3,790.0000"
2019年09月03日,5,使徒行者2:谍影行动,150.0000,5.0000,"69,296.0000"
2019年09月03日,6,深夜食堂,124.0000,-16.0000,"2,166.0000"
2019年09月03日,7,死寂逃亡,56.0000,-15.0000,848.0000
2019年09月03日,8,骡子,51.0000,-2.0000,809.0000
2019年09月03日,9,女王的柯基,48.0000,-17.0000,"1,313.0000"
2019年09月03日,10,送我上青云,32.0000,3.0000,"2,772.0000"
2019年09月02日,1,速度与激情:特别行动,"2,253.0000",-61.0000,"119,638.0000"
2019年09月02日,2,哪吒之魔童降世,"1,040.0000",-72.0000,"472,897.0000"
2019年09月02日,3,烈火英雄,473.0000,-59.0000,"164,746.0000"
2019年09月02日,4,铤而走险,370.0000,-53.0000,"3,465.0000"
2019年09月02日,5,深夜食堂,148.0000,-60.0000,"2,042.0000"
2019年09月02日,6,使徒行者2:谍影行动,143.0000,-43.0000,"69,146.0000"
2019年09月02日,7,死寂逃亡,66.0000,-50.0000,792.0000
2019年09月02日,8,女王的柯基,58.0000,-85.0000,"1,265.0000"
2019年09月02日,9,骡子,52.0000,-60.0000,758.0000
2019年09月02日,10,送我上青云,31.0000,-51.0000,"2,740.0000"
2019年09月01日,1,速度与激情:特别行动,"5,782.0000",-23.0000,"117,385.0000"
2019年09月01日,2,哪吒之魔童降世,"3,757.0000",-22.0000,"471,858.0000"
2019年09月01日,3,烈火英雄,"1,153.0000",-14.0000,"164,273.0000"
2019年09月01日,4,铤而走险,790.0000,-22.0000,"3,095.0000"
2019年09月01日,5,愤怒的小鸟2,390.0000,-8.0000,"13,693.0000"
2019年09月01日,6,女王的柯基,383.0000,-18.0000,"1,207.0000"
2019年09月01日,7,深夜食堂,369.0000,-37.0000,"1,894.0000"
2019年09月01日,8,使徒行者2:谍影行动,253.0000,3.0000,"69,003.0000"
2019年09月01日,9,死寂逃亡,131.0000,-40.0000,726.0000
2019年09月01日,10,骡子,131.0000,-6.0000,706.0000
